country,year,minimum_wage_USD_PPP
Australia,2000,19998.261
Australia,2001,19815.532
Australia,2002,20010.736
Australia,2003,20271.836
Australia,2004,20627.635
Australia,2005,20794.893
Australia,2006,20476.589
Australia,2007,21155.691
Australia,2008,20785.17
Australia,2009,21052.559
Australia,2010,20946.784
Australia,2011,21105.28
Australia,2012,21392.725
Australia,2013,21456.117
Australia,2014,21523.134
Australia,2015,21785.673
Australia,2016,22038.188
Australia,2017,22234.756
Belgium,2000,20760.943
Belgium,2001,20873.707
Belgium,2002,21153.528
Belgium,2003,21031.155
Belgium,2004,20803.341
Belgium,2005,20644.559
Belgium,2006,20683.552
Belgium,2007,20922.298
Belgium,2008,20837.843
Belgium,2009,21870.327
Belgium,2010,21401.778
Belgium,2011,21295.736
Belgium,2012,21121.893
Belgium,2013,21517.497
Belgium,2014,21444.585
Belgium,2015,21324.861
Belgium,2016,21121.72
Belgium,2017,21096.315
Canada,2000,13964.501
Canada,2001,13804.352
Canada,2002,13659.237
Canada,2003,13467.456
Canada,2004,13489
Canada,2005,13607.533
Canada,2006,13907.743
Canada,2007,14046.565
Canada,2008,14613.919
Canada,2009,15477.657
Canada,2010,16030.391
Canada,2011,16076.564
Canada,2012,16378.093
Canada,2013,16485.981
Canada,2014,16592.343
Canada,2015,16849.463
Canada,2016,17109.857
Canada,2017,17407.395
Chile,2000,4288.5828
Chile,2001,4449.7813
Chile,2002,4577.9773
Chile,2003,4641.024
Chile,2004,4770.742
Chile,2005,4862.2639
Chile,2006,4987.7608
Chile,2007,5077.4725
Chile,2008,5072.1427
Chile,2009,5404.5966
Chile,2010,5543.2431
Chile,2011,5634.6571
Chile,2012,5794.6977
Chile,2013,6109.5626
Chile,2014,6280.7497
Chile,2015,6450.4108
Chile,2016,6805.0629
Chile,2017,7086.2009
Czech Republic,2000,5034.3701
Czech Republic,2001,5658.9308
Czech Republic,2002,6330.7089
Czech Republic,2003,6877.8676
Czech Republic,2004,7232.8985
Czech Republic,2005,7615.055
