Title,GDP_measure,value
1948,General Government: Final consumption expenditure (P3): CPSA £m,1993
1948,Gross Domestic Product (Expenditure) current basic prices index SA,0.6
1948,Gross Domestic Product (Income) chained volume index: SA,17.8
1948,Gross Domestic Product (Income) current basic prices index SA,0.6
1948,Gross Domestic Product (Expenditure) chained volume index: SA,17.5
1948,Tot adjustment to basic prices (General Government + Rest of the World) CVM SA £,42266
1948,Total adjustment to basic prices (General Government + ROW) CP SA £m,1049
1948,General Government: Final consumption expenditure: P3: CVM SA £m,107296
1948,whole economy: D2 less D3: pre-ESA95 factor cost adjustment: SA CP £m,1285
1948,Trade in services:Exports:Total:CP:SA:£m,528
1948,Trade in services:Imports:Total:CP:SA:£m,592
1948,Trade in Services:Imports:Total:CVM:SA:£m,8214
1948,Trade in services:Balance:Total:CP:SA:£m,-64
1948,Trade in Services:Exports:Total:CVM:SA:£m,12398
1948,Balance of Payments: Trade in Goods & Services: Total balance: CP SA £m,-216
1948,Balance of Payments: Trade in Goods & Services: Total exports: CVM SA £m,32746
1948,Balance of Payments: Trade in Goods & Services: Total exports: CP SA £m,2191
1948,Balance of Payments: Trade in Goods & Services: Total imports: CP SA £m,2407
1948,Balance of Payments: Imports: Total Trade in Goods & Services: CVM SA £m,32062
1948,Balance of Payments: Trade in Goods & Services: Total Balance: CVM SA £m,684
1948,Changes in inventories (CP SA) including alignment adjustment £m,175
1948,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: CP £m: SA,1722
1948,Gross Operating Surplus: NFCos: Public: Current price: SA £m,255
1948,Changes in inventories including alignment adjustment - CVM NAYear SA £m,2525
1948,Gross Domestic Product (Income) current basic prices: aligned: SA £m,10598
1948,Gross Domestic Product (Expenditure) chained volume measure SA £m,307805
1948,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,10465
1948,NPISH (S.15): Individual consumption expenditure (P.31): Uses: Current price: £m: SA,48
1948,Trade in Goods:Exports:Total Trade in Goods:CVM:SA:£m,20627
1948,Trade in Goods:Imports:Total:CVM:SA: £m,23740
1948,Final Consumption Expenditure of NPISHs CVM SA £m,14807
1948,Trade in Goods:Balance:Total:CP:SA £m,-152
1948,Trade in Goods:Imports:Total:CP:SA £m,1815
1948,Trade in Goods:Exports:Total:CP:SA £m,1663
1948,"Acquisitions less disposals of valuables: total economy CP SA, £m",0
1948,"Acquisitions less disposals of valuables: total economy CVM SA, £m",0
1948,Total Gross Fixed Capital Formation CP SA £m,1052
1948,Total Gross Fixed Capital Formation CVM SA £m,25604
1948,Difference between GDP(E) and GDP(A) MP (SA CP) £m,67
1948,Statistical discrepancy (income) £m,-66
1948,Difference between GDP(Expenditure) and GDP(Average) MP(CVM SA) £m,2025
1948,Gross Operating Surplus: Financial Corporations: Total: CP SA £m,26
1948,Gross Domestic Product at market prices: CP: NSA £m,11581
1948,CVM SA changes in inventories timing adjustment £m,0
