year,region,industry,subsector_letter,info_type,data
1997,UK,All Industries,All Industries,Average Total Weekly Hours,869700723.7559001
1997,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,31826412.00167898
1997,UK,Manufacturing,C,Average Total Weekly Hours,148342374.77277893
1997,UK,Construction,F,Average Total Weekly Hours,67648257.42670664
1997,UK,Trade,G,Average Total Weekly Hours,137439247.25072658
1997,UK,Transport,H,Average Total Weekly Hours,45793787.36482575
1997,UK,Leisure and Entertainment,I,Average Total Weekly Hours,44932708.51729519
1997,UK,Telecoms,J,Average Total Weekly Hours,33342334.511300273
1997,UK,Financial Services,K,Average Total Weekly Hours,35156956.06710608
1997,UK,Financial Services,L,Average Total Weekly Hours,7542819.775120867
1997,UK,Professional and Business Services,M,Average Total Weekly Hours,54885388.596864104
1997,UK,Professional and Business Services,N,Average Total Weekly Hours,48114025.12184827
1997,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,51582768.99413742
1997,UK,Education and Health,P,Average Total Weekly Hours,48178292.19378428
1997,UK,Education and Health,Q,Average Total Weekly Hours,76393562.29080577
1997,UK,Leisure and Entertainment,R,Average Total Weekly Hours,16514143.1033193
1997,UK,Other Services,S and T,Average Total Weekly Hours,22007645.76760172
1998,UK,All Industries,All Industries,Average Total Weekly Hours,886490646.8286748
1998,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,30506447.495465703
1998,UK,Manufacturing,C,Average Total Weekly Hours,149479798.81642634
1998,UK,Construction,F,Average Total Weekly Hours,70439840.92562462
1998,UK,Trade,G,Average Total Weekly Hours,141586856.10615405
1998,UK,Transport,H,Average Total Weekly Hours,47680256.16372311
1998,UK,Leisure and Entertainment,I,Average Total Weekly Hours,44346134.92393905
1998,UK,Telecoms,J,Average Total Weekly Hours,34846218.49220897
1998,UK,Financial Services,K,Average Total Weekly Hours,35972537.28985532
1998,UK,Financial Services,L,Average Total Weekly Hours,7728833.294610154
1998,UK,Professional and Business Services,M,Average Total Weekly Hours,57736286.57723975
1998,UK,Professional and Business Services,N,Average Total Weekly Hours,50772346.27127999
1998,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,51751950.54590584
1998,UK,Education and Health,P,Average Total Weekly Hours,48833682.10699334
1998,UK,Education and Health,Q,Average Total Weekly Hours,76704310.29817906
1998,UK,Leisure and Entertainment,R,Average Total Weekly Hours,16440547.805019017
1998,UK,Other Services,S and T,Average Total Weekly Hours,21664599.716050535
1999,UK,All Industries,All Industries,Average Total Weekly Hours,894532530.6773251
1999,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,28121086.68690454
1999,UK,Manufacturing,C,Average Total Weekly Hours,142575726.58748525
1999,UK,Construction,F,Average Total Weekly Hours,70489753.1786622
1999,UK,Trade,G,Average Total Weekly Hours,144028411.0158224
1999,UK,Transport,H,Average Total Weekly Hours,48982609.218919516
1999,UK,Leisure and Entertainment,I,Average Total Weekly Hours,44208083.95830403
1999,UK,Telecoms,J,Average Total Weekly Hours,35414378.169523254
1999,UK,Financial Services,K,Average Total Weekly Hours,37051849.02868265
1999,UK,Financial Services,L,Average Total Weekly Hours,8301271.424747749
1999,UK,Professional and Business Services,M,Average Total Weekly Hours,59984563.93955538
1999,UK,Professional and Business Services,N,Average Total Weekly Hours,53140063.95407924
1999,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,53439367.50876102
