LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPHRWKD,TOT,USD,A,1970,26.783084,
AUS,GDPHRWKD,TOT,USD,A,1971,27.452554,
AUS,GDPHRWKD,TOT,USD,A,1972,28.05676,
AUS,GDPHRWKD,TOT,USD,A,1973,28.634586,
AUS,GDPHRWKD,TOT,USD,A,1974,28.178901,
AUS,GDPHRWKD,TOT,USD,A,1975,29.221907,
AUS,GDPHRWKD,TOT,USD,A,1976,29.709708,
AUS,GDPHRWKD,TOT,USD,A,1977,29.676095,
AUS,GDPHRWKD,TOT,USD,A,1978,30.928196,
AUS,GDPHRWKD,TOT,USD,A,1979,31.078151,
AUS,GDPHRWKD,TOT,USD,A,1980,31.411444,
AUS,GDPHRWKD,TOT,USD,A,1981,32.339389,
AUS,GDPHRWKD,TOT,USD,A,1982,32.743832,
AUS,GDPHRWKD,TOT,USD,A,1983,33.564224,
AUS,GDPHRWKD,TOT,USD,A,1984,34.298849,
AUS,GDPHRWKD,TOT,USD,A,1985,34.24144,
AUS,GDPHRWKD,TOT,USD,A,1986,34.244212,
AUS,GDPHRWKD,TOT,USD,A,1987,34.95395,
AUS,GDPHRWKD,TOT,USD,A,1988,34.846476,
AUS,GDPHRWKD,TOT,USD,A,1989,34.95877,
AUS,GDPHRWKD,TOT,USD,A,1990,34.331528,
AUS,GDPHRWKD,TOT,USD,A,1991,35.1256,
AUS,GDPHRWKD,TOT,USD,A,1992,36.203582,
AUS,GDPHRWKD,TOT,USD,A,1993,36.281321,
AUS,GDPHRWKD,TOT,USD,A,1994,36.342676,
AUS,GDPHRWKD,TOT,USD,A,1995,37.440841,
AUS,GDPHRWKD,TOT,USD,A,1996,38.758375,
AUS,GDPHRWKD,TOT,USD,A,1997,40.057026,
AUS,GDPHRWKD,TOT,USD,A,1998,41.34932,
AUS,GDPHRWKD,TOT,USD,A,1999,41.718548,
AUS,GDPHRWKD,TOT,USD,A,2000,42.146744,
AUS,GDPHRWKD,TOT,USD,A,2001,43.617731,
AUS,GDPHRWKD,TOT,USD,A,2002,44.224679,
AUS,GDPHRWKD,TOT,USD,A,2003,45.153467,
AUS,GDPHRWKD,TOT,USD,A,2004,45.017953,
AUS,GDPHRWKD,TOT,USD,A,2005,45.220435,
AUS,GDPHRWKD,TOT,USD,A,2006,45.452895,
AUS,GDPHRWKD,TOT,USD,A,2007,46.002395,
AUS,GDPHRWKD,TOT,USD,A,2008,47.612941,
AUS,GDPHRWKD,TOT,USD,A,2009,47.145906,
AUS,GDPHRWKD,TOT,USD,A,2010,47.917654,
AUS,GDPHRWKD,TOT,USD,A,2011,48.448929,
AUS,GDPHRWKD,TOT,USD,A,2012,49.614253,
AUS,GDPHRWKD,TOT,USD,A,2013,50.425768,
AUS,GDPHRWKD,TOT,USD,A,2014,50.723452,
AUS,GDPHRWKD,TOT,USD,A,2015,52.062359,
AUS,GDPHRWKD,TOT,USD,A,2016,51.771229,
AUS,GDPHRWKD,TOT,USD,A,2017,52.43314,
AUT,GDPHRWKD,TOT,USD,A,1995,40.901388,
AUT,GDPHRWKD,TOT,USD,A,1996,40.942722,
AUT,GDPHRWKD,TOT,USD,A,1997,41.304023,
AUT,GDPHRWKD,TOT,USD,A,1998,42.865824,
AUT,GDPHRWKD,TOT,USD,A,1999,43.631035,
AUT,GDPHRWKD,TOT,USD,A,2000,44.669032,
AUT,GDPHRWKD,TOT,USD,A,2001,45.239084,
AUT,GDPHRWKD,TOT,USD,A,2002,46.096699,
AUT,GDPHRWKD,TOT,USD,A,2003,46.460241,
AUT,GDPHRWKD,TOT,USD,A,2004,47.367824,
AUT,GDPHRWKD,TOT,USD,A,2005,48.509274,
AUT,GDPHRWKD,TOT,USD,A,2006,49.79895,
AUT,GDPHRWKD,TOT,USD,A,2007,51.048623,
AUT,GDPHRWKD,TOT,USD,A,2008,51.050921,
AUT,GDPHRWKD,TOT,USD,A,2009,50.692777,
AUT,GDPHRWKD,TOT,USD,A,2010,51.45962,
AUT,GDPHRWKD,TOT,USD,A,2011,51.97023,
AUT,GDPHRWKD,TOT,USD,A,2012,52.535253,
AUT,GDPHRWKD,TOT,USD,A,2013,52.873201,
AUT,GDPHRWKD,TOT,USD,A,2014,53.062901,
AUT,GDPHRWKD,TOT,USD,A,2015,53.889507,
AUT,GDPHRWKD,TOT,USD,A,2016,53.868001,
AUT,GDPHRWKD,TOT,USD,A,2017,54.353238,
BEL,GDPHRWKD,TOT,USD,A,1970,24.992602,
BEL,GDPHRWKD,TOT,USD,A,1971,25.890412,
BEL,GDPHRWKD,TOT,USD,A,1972,27.693088,
BEL,GDPHRWKD,TOT,USD,A,1973,29.568551,
BEL,GDPHRWKD,TOT,USD,A,1974,30.834273,
BEL,GDPHRWKD,TOT,USD,A,1975,31.031178,
BEL,GDPHRWKD,TOT,USD,A,1976,32.909764,
BEL,GDPHRWKD,TOT,USD,A,1977,33.734739,
BEL,GDPHRWKD,TOT,USD,A,1978,34.999186,
BEL,GDPHRWKD,TOT,USD,A,1979,35.83151,
BEL,GDPHRWKD,TOT,USD,A,1980,37.926748,
BEL,GDPHRWKD,TOT,USD,A,1981,39.059991,
BEL,GDPHRWKD,TOT,USD,A,1982,40.152071,
BEL,GDPHRWKD,TOT,USD,A,1983,40.667746,
BEL,GDPHRWKD,TOT,USD,A,1984,41.091798,
BEL,GDPHRWKD,TOT,USD,A,1985,41.42787,
BEL,GDPHRWKD,TOT,USD,A,1986,42.416081,
BEL,GDPHRWKD,TOT,USD,A,1987,43.463617,
BEL,GDPHRWKD,TOT,USD,A,1988,44.978084,
BEL,GDPHRWKD,TOT,USD,A,1989,46.079855,
BEL,GDPHRWKD,TOT,USD,A,1990,46.621525,
BEL,GDPHRWKD,TOT,USD,A,1991,48.396186,
BEL,GDPHRWKD,TOT,USD,A,1992,49.908938,
BEL,GDPHRWKD,TOT,USD,A,1993,51.160361,
BEL,GDPHRWKD,TOT,USD,A,1994,53.032954,
BEL,GDPHRWKD,TOT,USD,A,1995,52.562931,
BEL,GDPHRWKD,TOT,USD,A,1996,54.151219,
BEL,GDPHRWKD,TOT,USD,A,1997,55.317912,
BEL,GDPHRWKD,TOT,USD,A,1998,55.051633,
BEL,GDPHRWKD,TOT,USD,A,1999,56.261079,
BEL,GDPHRWKD,TOT,USD,A,2000,56.711659,
BEL,GDPHRWKD,TOT,USD,A,2001,56.629055,
BEL,GDPHRWKD,TOT,USD,A,2002,57.953347,
BEL,GDPHRWKD,TOT,USD,A,2003,58.632351,
BEL,GDPHRWKD,TOT,USD,A,2004,60.357315,
BEL,GDPHRWKD,TOT,USD,A,2005,61.03746,
BEL,GDPHRWKD,TOT,USD,A,2006,61.605343,
BEL,GDPHRWKD,TOT,USD,A,2007,62.520201,
BEL,GDPHRWKD,TOT,USD,A,2008,62.15517,
BEL,GDPHRWKD,TOT,USD,A,2009,61.715291,
BEL,GDPHRWKD,TOT,USD,A,2010,63.097415,
BEL,GDPHRWKD,TOT,USD,A,2011,62.804247,
BEL,GDPHRWKD,TOT,USD,A,2012,62.668138,
BEL,GDPHRWKD,TOT,USD,A,2013,63.076682,
BEL,GDPHRWKD,TOT,USD,A,2014,63.70542,
BEL,GDPHRWKD,TOT,USD,A,2015,64.563896,
BEL,GDPHRWKD,TOT,USD,A,2016,64.708887,
BEL,GDPHRWKD,TOT,USD,A,2017,64.81572,
CAN,GDPHRWKD,TOT,USD,A,1970,27.006985,
CAN,GDPHRWKD,TOT,USD,A,1971,27.710729,
CAN,GDPHRWKD,TOT,USD,A,1972,28.653037,
CAN,GDPHRWKD,TOT,USD,A,1973,29.37113,
CAN,GDPHRWKD,TOT,USD,A,1974,29.486436,
CAN,GDPHRWKD,TOT,USD,A,1975,29.930443,
CAN,GDPHRWKD,TOT,USD,A,1976,31.49156,
CAN,GDPHRWKD,TOT,USD,A,1977,32.371697,
CAN,GDPHRWKD,TOT,USD,A,1978,32.695189,
CAN,GDPHRWKD,TOT,USD,A,1979,32.402641,
CAN,GDPHRWKD,TOT,USD,A,1980,32.309487,
CAN,GDPHRWKD,TOT,USD,A,1981,32.762677,
CAN,GDPHRWKD,TOT,USD,A,1982,33.209746,
CAN,GDPHRWKD,TOT,USD,A,1983,33.980935,
CAN,GDPHRWKD,TOT,USD,A,1984,34.910047,
CAN,GDPHRWKD,TOT,USD,A,1985,35.222235,
CAN,GDPHRWKD,TOT,USD,A,1986,34.927277,
CAN,GDPHRWKD,TOT,USD,A,1987,35.096652,
CAN,GDPHRWKD,TOT,USD,A,1988,35.439586,
CAN,GDPHRWKD,TOT,USD,A,1989,35.527063,
CAN,GDPHRWKD,TOT,USD,A,1990,35.483603,
CAN,GDPHRWKD,TOT,USD,A,1991,35.781103,
CAN,GDPHRWKD,TOT,USD,A,1992,36.506825,
CAN,GDPHRWKD,TOT,USD,A,1993,37.243424,
CAN,GDPHRWKD,TOT,USD,A,1994,37.983457,
CAN,GDPHRWKD,TOT,USD,A,1995,38.441119,
CAN,GDPHRWKD,TOT,USD,A,1996,38.353518,
CAN,GDPHRWKD,TOT,USD,A,1997,39.317604,
CAN,GDPHRWKD,TOT,USD,A,1998,40.017667,
CAN,GDPHRWKD,TOT,USD,A,1999,41.009851,
CAN,GDPHRWKD,TOT,USD,A,2000,42.251955,
CAN,GDPHRWKD,TOT,USD,A,2001,42.789437,
CAN,GDPHRWKD,TOT,USD,A,2002,43.446289,
CAN,GDPHRWKD,TOT,USD,A,2003,43.476698,
CAN,GDPHRWKD,TOT,USD,A,2004,43.764566,
CAN,GDPHRWKD,TOT,USD,A,2005,44.806922,
CAN,GDPHRWKD,TOT,USD,A,2006,45.316404,
CAN,GDPHRWKD,TOT,USD,A,2007,45.387391,
CAN,GDPHRWKD,TOT,USD,A,2008,45.35477,
CAN,GDPHRWKD,TOT,USD,A,2009,45.681968,
CAN,GDPHRWKD,TOT,USD,A,2010,46.186562,
CAN,GDPHRWKD,TOT,USD,A,2011,46.988368,
CAN,GDPHRWKD,TOT,USD,A,2012,46.935103,
CAN,GDPHRWKD,TOT,USD,A,2013,47.497005,
CAN,GDPHRWKD,TOT,USD,A,2014,48.691981,
CAN,GDPHRWKD,TOT,USD,A,2015,48.606719,
CAN,GDPHRWKD,TOT,USD,A,2016,48.89912,
CAN,GDPHRWKD,TOT,USD,A,2017,49.756578,
CZE,GDPHRWKD,TOT,USD,A,1993,19.075729,
CZE,GDPHRWKD,TOT,USD,A,1994,19.604386,
CZE,GDPHRWKD,TOT,USD,A,1995,20.473321,
CZE,GDPHRWKD,TOT,USD,A,1996,21.288915,
CZE,GDPHRWKD,TOT,USD,A,1997,21.252339,
CZE,GDPHRWKD,TOT,USD,A,1998,21.330728,
CZE,GDPHRWKD,TOT,USD,A,1999,21.924582,
CZE,GDPHRWKD,TOT,USD,A,2000,23.025261,
CZE,GDPHRWKD,TOT,USD,A,2001,24.767638,
CZE,GDPHRWKD,TOT,USD,A,2002,25.044123,
CZE,GDPHRWKD,TOT,USD,A,2003,26.303874,
CZE,GDPHRWKD,TOT,USD,A,2004,27.482004,
CZE,GDPHRWKD,TOT,USD,A,2005,28.721102,
CZE,GDPHRWKD,TOT,USD,A,2006,30.581371,
CZE,GDPHRWKD,TOT,USD,A,2007,31.8967,
CZE,GDPHRWKD,TOT,USD,A,2008,31.961337,
CZE,GDPHRWKD,TOT,USD,A,2009,31.173618,
CZE,GDPHRWKD,TOT,USD,A,2010,31.844387,
CZE,GDPHRWKD,TOT,USD,A,2011,32.389006,
CZE,GDPHRWKD,TOT,USD,A,2012,32.526981,
CZE,GDPHRWKD,TOT,USD,A,2013,32.505858,
CZE,GDPHRWKD,TOT,USD,A,2014,32.948531,
CZE,GDPHRWKD,TOT,USD,A,2015,34.61027,
CZE,GDPHRWKD,TOT,USD,A,2016,34.464557,
CZE,GDPHRWKD,TOT,USD,A,2017,35.298441,
DNK,GDPHRWKD,TOT,USD,A,1970,25.065455,
DNK,GDPHRWKD,TOT,USD,A,1971,26.337789,
DNK,GDPHRWKD,TOT,USD,A,1972,27.736534,
DNK,GDPHRWKD,TOT,USD,A,1973,29.249447,
DNK,GDPHRWKD,TOT,USD,A,1974,29.436948,
DNK,GDPHRWKD,TOT,USD,A,1975,30.646729,
DNK,GDPHRWKD,TOT,USD,A,1976,31.778901,
DNK,GDPHRWKD,TOT,USD,A,1977,32.956881,
DNK,GDPHRWKD,TOT,USD,A,1978,33.901997,
DNK,GDPHRWKD,TOT,USD,A,1979,35.069114,
DNK,GDPHRWKD,TOT,USD,A,1980,34.798727,
DNK,GDPHRWKD,TOT,USD,A,1981,35.823053,
DNK,GDPHRWKD,TOT,USD,A,1982,36.822802,
DNK,GDPHRWKD,TOT,USD,A,1983,37.919869,
DNK,GDPHRWKD,TOT,USD,A,1984,39.066148,
DNK,GDPHRWKD,TOT,USD,A,1985,40.054135,
DNK,GDPHRWKD,TOT,USD,A,1986,40.922524,
DNK,GDPHRWKD,TOT,USD,A,1987,41.753624,
DNK,GDPHRWKD,TOT,USD,A,1988,42.573008,
DNK,GDPHRWKD,TOT,USD,A,1989,43.464241,
DNK,GDPHRWKD,TOT,USD,A,1990,44.736122,
DNK,GDPHRWKD,TOT,USD,A,1991,45.905486,
DNK,GDPHRWKD,TOT,USD,A,1992,46.69587,
DNK,GDPHRWKD,TOT,USD,A,1993,47.587912,
DNK,GDPHRWKD,TOT,USD,A,1994,50.626073,
DNK,GDPHRWKD,TOT,USD,A,1995,51.379447,
DNK,GDPHRWKD,TOT,USD,A,1996,52.604416,
DNK,GDPHRWKD,TOT,USD,A,1997,52.985708,
DNK,GDPHRWKD,TOT,USD,A,1998,52.924676,
DNK,GDPHRWKD,TOT,USD,A,1999,53.463727,
DNK,GDPHRWKD,TOT,USD,A,2000,54.702135,
DNK,GDPHRWKD,TOT,USD,A,2001,54.509014,
DNK,GDPHRWKD,TOT,USD,A,2002,54.957172,
DNK,GDPHRWKD,TOT,USD,A,2003,55.864173,
DNK,GDPHRWKD,TOT,USD,A,2004,57.64804,
DNK,GDPHRWKD,TOT,USD,A,2005,58.437176,
